,name,album,artists,year,release_date
,Leftys Alone,Big Dipper,Drop Trio,2003,2003-01-01
,Flux,Big Dipper,Drop Trio,2003,2003-01-01
,Abbey Rhodes,Big Dipper,Drop Trio,2003,2003-01-01
,Gin & Nothin,Big Dipper,Drop Trio,2003,2003-01-01
,Slapjack,Big Dipper,Drop Trio,2003,2003-01-01
,A Shine on Your Head,Dummy Variations,Joseph Nothing,2001,2001-02-19
,But Not For Me,Dummy Variations,Joseph Nothing,2001,2001-02-19
,The Day Before Yesterday,Dummy Variations,Joseph Nothing,2001,2001-02-19
,Divine Lowlife,Dummy Variations,Joseph Nothing,2001,2001-02-19
,Are,Dummy Variations,Joseph Nothing,2001,2001-02-19
,Every Beauty Has Its Scum,Dummy Variations,Joseph Nothing,2001,2001-02-19
,So Far So Good,Dummy Variations,Joseph Nothing,2001,2001-02-19
,Ballad For the Unloved,Dummy Variations,Joseph Nothing,2001,2001-02-19
,"The Day After Tomorrow, Pt. 1",Dummy Variations,Joseph Nothing,2001,2001-02-19
,Exotic Man Walking,Dummy Variations,Joseph Nothing,2001,2001-02-19
,Belly Button Queen,Dummy Variations,Joseph Nothing,2001,2001-02-19
,Disc ONostalgia,Dummy Variations,Joseph Nothing,2001,2001-02-19
,Last Rights,Dummy Variations,Joseph Nothing,2001,2001-02-19
,A Bad Day in the Midlife,Dummy Variations,Joseph Nothing,2001,2001-02-19
,"The Day After Tomorrow, Pt. 2",Dummy Variations,Joseph Nothing,2001,2001-02-19
,Fumbling Towards Ecstacy,Dummy Variations,Joseph Nothing,2001,2001-02-19
,At the Park,Dummy Variations,Joseph Nothing,2001,2001-02-19
,Layover,Breakfast In The Field,Michael Hedges,1981,1981-10-29
,The Happy Couple,Breakfast In The Field,Michael Hedges,1981,1981-10-29
,Eleven Small Roaches,Breakfast In The Field,Michael Hedges,1981,1981-10-29
,The Funky Avocado,Breakfast In The Field,Michael Hedges,1981,1981-10-29
,Baby Toes,Breakfast In The Field,Michael Hedges,1981,1981-10-29
,Breakfast In The Field,Breakfast In The Field,Michael Hedges,1981,1981-10-29
,Two Days Old,Breakfast In The Field,Michael Hedges,1981,1981-10-29
,Peg Leg Speed King,Breakfast In The Field,Michael Hedges,1981,1981-10-29
,The Unexpected Visitor,Breakfast In The Field,Michael Hedges,1981,1981-10-29
,Silent Anticipations,Breakfast In The Field,Michael Hedges,1981,1981-10-29
,Lenono,Breakfast In The Field,Michael Hedges,1981,1981-10-29
,The World Of Tomorrow,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,The Zeppelin Arrives,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,The Robot Army,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,Calling Sky Captain,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,Back At The Base,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,The Flying Wings Attack,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,An Aquatic Escape,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,Flight To Nepal,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,Treacherous Journey,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,Dynamite,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,Three In a Bed,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,Finding Frankie,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,Manta Squadron,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,H-770d,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,Flying Lizard,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,Totenkopfs Ark,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,Back To Earth,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Edward Shearmur,2004,2004-08-24
,Over the Rainbow,Sky Captain And The World Of Tomorrow (Original Motion Picture Soundtrack),Jane Monheit,2004,2004-08-24
,Grá,Grá,Wardruna,2020,2020-02-21
,Everything We Need,Friend a Dinosaur,Paladino,2017,2017-12-01
,Its Over,Friend a Dinosaur,Paladino,2017,2017-12-01
,Al and His Machines,Friend a Dinosaur,Paladino,2017,2017-12-01
,Duck and Cover,Friend a Dinosaur,Paladino,2017,2017-12-01
,Brownbug,Friend a Dinosaur,Paladino,2017,2017-12-01
,Sad Little Country Song,Friend a Dinosaur,Paladino,2017,2017-12-01
,Bobbi,Friend a Dinosaur,Paladino,2017,2017-12-01
,Treading Water,Friend a Dinosaur,Paladino,2017,2017-12-01
,Firefly,Friend a Dinosaur,Paladino,2017,2017-12-01
,Mudface (Live),Friend a Dinosaur,Paladino,2017,2017-12-01
,Duck and Cover (Live),Friend a Dinosaur,Paladino,2017,2017-12-01
,"Toccata and Fugue in D Minor, BWV 565",Classics From The Crypt,"Johann Sebastian Bach, Eugene Ormandy",1992,1992-08-25
,"Danse macabre, Op. 40",Classics From The Crypt,"Camille Saint-Saëns, Eugene Ormandy",1992,1992-08-25
,Funeral March of a Marionette,Classics From The Crypt,"Charles Gounod, Arthur Fiedler",1992,1992-08-25
,A Night on Bald Mountain,Classics From The Crypt,"Modest Mussorgsky, Eugene Ormandy",1992,1992-08-25
,Marche au supplice,Classics From The Crypt,"Hector Berlioz, Georges Prêtre",1992,1992-08-25
,In the Hall of the Mountain King,Classics From The Crypt,"Edvard Grieg, Eugene Ormandy",1992,1992-08-25
,"Mephisto Waltz No. 1, S. 514",Classics From The Crypt,"Franz Liszt, Fritz Reiner, Chicago Symphony Orchestra",1992,1992-08-25
,Lapprenti sorcier,Classics From The Crypt,"Paul Dukas, Eugene Ormandy",1992,1992-08-25
,Songe dun nuit de sabbat,Classics From The Crypt,"Hector Berlioz, Georges Prêtre",1992,1992-08-25
,Higher,Paper Dreams,Emma Cherry,2010,2010-11-26
,Dora,Paper Dreams,Emma Cherry,2010,2010-11-26
,Stupid Girl,Paper Dreams,Emma Cherry,2010,2010-11-26
,Moon,Paper Dreams,Emma Cherry,2010,2010-11-26
,Lovers Hill,Paper Dreams,Emma Cherry,2010,2010-11-26
,The Clearing,Paper Dreams,Emma Cherry,2010,2010-11-26
,Paper Dreams,Paper Dreams,Emma Cherry,2010,2010-11-26
,Pippa,Paper Dreams,Emma Cherry,2010,2010-11-26
,Blind,Paper Dreams,Emma Cherry,2010,2010-11-26
,Wont Fall Away,Paper Dreams,Emma Cherry,2010,2010-11-26
,Convocation Média (intro),Résilient,Taktika,2015,2015-05-19
,Notre version de lhistoire,Résilient,Taktika,2015,2015-05-19
,Résilient,Résilient,Taktika,2015,2015-05-19
,Quand lespoir meurt,Résilient,Taktika,2015,2015-05-19
,Un joyau parmi les ordures (feat. Manu),Résilient,"Taktika, Manu",2015,2015-05-19
,Cest le son,Résilient,Taktika,2015,2015-05-19
,"Dans ma ville 2015 (feat. ADN, Black Taboo, CEA, Eman, GLD, Mocy, OB1, Onze, P de good Samaritans, Saye, Shoody, Souldia, Sozi, Webster & Dj K-Turnaz)",Résilient,"Taktika, ADN, Black Taboo, CEA, Eman, GLD, Mocy, OB1, Onze, P de good Samaritans, Saye, Shoody, Souldia, Sozi, Webster, DJ K-Turnaz",2015,2015-05-19
,La force de combattre (feat. Elizabeth Blouin-Brathwaite),Résilient,"Taktika, Elizabeth Blouin Brathwaite",2015,2015-05-19
,Une vie à vivre,Résilient,Taktika,2015,2015-05-19
,#Pesant,Résilient,Taktika,2015,2015-05-19
,On fabrique des bombes (feat. Canox & Onze),Résilient,"Taktika, Canox, Onze",2015,2015-05-19
,Silence on croule,Résilient,Taktika,2015,2015-05-19
,Mes chums Pt II,Résilient,Taktika,2015,2015-05-19
,Mixed Race Angel,Freak,"MAX BLACK, Seul",2018,2018-11-30
,Carpark,Freak,"MAX BLACK, Seul",2018,2018-11-30
,I Know,Freak,"MAX BLACK, Seul",2018,2018-11-30
,Drug Fiend,Freak,"MAX BLACK, Seul",2018,2018-11-30
,Glitter 17,Freak,"MAX BLACK, Seul",2018,2018-11-30
,Useless,Freak,"MAX BLACK, Seul, Toyotomi Hideyoshi",2018,2018-11-30
,Lyfjaberg,Lyfjaberg,Wardruna,2020,2020-06-05
,Piano Sonata No. 2: I. Lento - Piu mosso,"Distinguished Performers, Series 1","Rashid Kalimullin, Kayako Matsunaga",2011,2011-11-01
,Piano Sonata No. 2: II. Andante rubato,"Distinguished Performers, Series 1","Rashid Kalimullin, Kayako Matsunaga",2011,2011-11-01
,Piano Sonata No. 2: III. Allegro,"Distinguished Performers, Series 1","Rashid Kalimullin, Kayako Matsunaga",2011,2011-11-01
,Introduction,"Distinguished Performers, Series 1","Lennox Berkeley, Michael Davis",2011,2011-11-01
,"Introduction and Allegro, Op. 24: Allegro","Distinguished Performers, Series 1","Lennox Berkeley, Michael Davis",2011,2011-11-01
,"Violin Sonatina, Op. 17: I. Moderato","Distinguished Performers, Series 1","Lennox Berkeley, Michael Davis, Nelson Harper",2011,2011-11-01
,"Violin Sonatina, Op. 17: II. Lento","Distinguished Performers, Series 1","Lennox Berkeley, Michael Davis, Nelson Harper",2011,2011-11-01
,"Violin Sonatina, Op. 17: III. Allegretto - Variations 1-5","Distinguished Performers, Series 1","Lennox Berkeley, Michael Davis, Nelson Harper",2011,2011-11-01
,Cantus gemellus,"Distinguished Performers, Series 1","Dieter Acker, Duo Gelland",2011,2011-11-01
,Chant de Linos,"Distinguished Performers, Series 1","André Jolivet, Ann Marie Yasinitsky, Gerald Berthiaume",2011,2011-11-01
,"Violin Sonata, Op. 31, No. 2, ""Es ist so schones Wetter draussen"": I. Leicht bewegte Viertel","Distinguished Performers, Series 1","Paul Hindemith, Gert-Rainer Schubert",2011,2011-11-01
,"Violin Sonata, Op. 31, No. 2, ""Es ist so schones Wetter draussen"": II. Ruhig bewegte Achtel","Distinguished Performers, Series 1","Paul Hindemith, Gert-Rainer Schubert",2011,2011-11-01
,"Violin Sonata, Op. 31, No. 2, ""Es ist so schones Wetter draussen"": III. Gemachliche Viertel","Distinguished Performers, Series 1","Paul Hindemith, Gert-Rainer Schubert",2011,2011-11-01
,"Violin Sonata, Op. 31, No. 2, ""Es ist so schones Wetter draussen"": IV. 5 Variationen uber deas lied ""Komm, lieber Mai""","Distinguished Performers, Series 1","Paul Hindemith, Gert-Rainer Schubert",2011,2011-11-01
,Any Ole Stretch Of Blacktop,Super Hits,Shenandoah,1994,1994
,Mama Knows,Super Hits,Shenandoah,1994,1994
,Sunday In the South,Super Hits,Shenandoah,1994,1994
,The Church On Cumberland Road,Super Hits,Shenandoah,1994,1994
,Two Dozen Roses,Super Hits,Shenandoah,1994,1994
,(Its Hard To Live Up To) The Rock,Super Hits,Shenandoah,1994,1994
,"Next to You, Next to Me",Super Hits,Shenandoah,1994,1994
,Ghost In This House,Super Hits,Shenandoah,1994,1994
,I Got You,Super Hits,Shenandoah,1994,1994
,The Moon Over Georgia,Super Hits,Shenandoah,1994,1994
,Linoleum,The Attraction to All Things Uncertain,Tweaker,2001,2001-09-18
,Years from Now,The Attraction to All Things Uncertain,Tweaker,2001,2001-09-18
,Swamp,The Attraction to All Things Uncertain,Tweaker,2001,2001-09-18
,Turned,The Attraction to All Things Uncertain,Tweaker,2001,2001-09-18
,Happy Child,The Attraction to All Things Uncertain,Tweaker,2001,2001-09-18
,The Drive-Bye,The Attraction to All Things Uncertain,Tweaker,2001,2001-09-18
,Take Me Alive,The Attraction to All Things Uncertain,Tweaker,2001,2001-09-18
,Susan,The Attraction to All Things Uncertain,Tweaker,2001,2001-09-18
,Microsize Boy,The Attraction to All Things Uncertain,Tweaker,2001,2001-09-18
,Full Cup of Coffee,The Attraction to All Things Uncertain,Tweaker,2001,2001-09-18
,Empty Sheet of Paper,The Attraction to All Things Uncertain,Tweaker,2001,2001-09-18
,After All,The Attraction to All Things Uncertain,Tweaker,2001,2001-09-18
,Come Play,The Attraction to All Things Uncertain,Tweaker,2001,2001-09-18
,Brand New Lover,"Mad, Bad And Dangerous To Know",Dead Or Alive,1987,1987-01-13
,Ill Save You All My Kisses,"Mad, Bad And Dangerous To Know",Dead Or Alive,1987,1987-01-13
,Son of a Gun,"Mad, Bad And Dangerous To Know",Dead Or Alive,1987,1987-01-13
,Then There Was You,"Mad, Bad And Dangerous To Know",Dead Or Alive,1987,1987-01-13
,Come Inside,"Mad, Bad And Dangerous To Know",Dead Or Alive,1987,1987-01-13
,Something In My House,"Mad, Bad And Dangerous To Know",Dead Or Alive,1987,1987-01-13
,Hooked On Love,"Mad, Bad And Dangerous To Know",Dead Or Alive,1987,1987-01-13
,I Want You,"Mad, Bad And Dangerous To Know",Dead Or Alive,1987,1987-01-13
,Special Star,"Mad, Bad And Dangerous To Know",Dead Or Alive,1987,1987-01-13
,Kaiserstrasse,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,La Strada Della Follia,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,Follia Nelia Strada,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,Follia Dalla Realta,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,Pioggia,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,Ma Non E Un Vampiro,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,Citta Ferita,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,Suoni Dissociati,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,Euna Vampira,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,Il Vampiro,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,La Casa Delle Streghe,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,Viole Nella Nebbia,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,Tra Sospiri E Lamenti,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,Ricordo Di Dino Asciolla,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,Diario Di Un Pazzo,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,Phantavox,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,Elegia Per Violino E Pianoforte,"Gothic Dramas: Original Ennio Morricone Scores For The Italian Tv Series ""Drammi Gotici""",Ennio Morricone,1996,1996-04-23
,Dance Creole,Steinway to Heaven,Keith Emerson,1996,1996
,"Piano Sonata, Op.13 in C minor (Pathetique) 2nd Movement (Adagio Cantabile)",Steinway to Heaven,Rick Wakeman,1996,1996
,"Etude, Op.10, No.12 ""Revolutionary""",Steinway to Heaven,Jordan Rudess,1996,1996
,"Prelude in E minor, Op.28, No.4",Steinway to Heaven,Chuck Leavell,1996,1996
,"Two Variations on the Brahms ""Paganini Variations,"" Op.35",Steinway to Heaven,Chris Ingles,1996,1996
,"Sonata Quasi Una Fantasia, Op.27, No.2 ""Moonlight"" 1st Movement",Steinway to Heaven,David Bryan,1996,1996
,"Polonaise in A major, Op.40, No.1 ""Military""",Steinway to Heaven,Patrick Moraz,1996,1996
,"Pavane, Op.50",Steinway to Heaven,Brian Auger,1996,1996
,Sonnetto 104 Del Petrarca,Steinway to Heaven,Mark Robertson,1996,1996
,"Suggestion Diabolique, Op.4, No.4",Steinway to Heaven,Tony Hymas,1996,1996
,"Prelude in D flat major, Op.28, No,15 ""Raindrop""",Steinway to Heaven,Dizzy Reed,1996,1996
,Pavane for a Dead Princess,Steinway to Heaven,Steve Porcaro,1996,1996
,Theres No War in This Love (feat. The Gunshy),Andrew Jackson Jihad & The Gunshy - EP,"AJJ, The Gunshy",2010,2010-02-16
,FFFIRESTTARTTERRR (feat. The Gunshy),Andrew Jackson Jihad & The Gunshy - EP,"AJJ, The Gunshy",2010,2010-02-16
,Thanks Buddy (feat. Andrew Jackson Jihad),Andrew Jackson Jihad & The Gunshy - EP,"The Gunshy, AJJ",2010,2010-02-16
,Only Sean Can Judge Me (feat. Andrew Jackson Jihad),Andrew Jackson Jihad & The Gunshy - EP,"The Gunshy, AJJ",2010,2010-02-16
,Combination of the Two,Cheap Thrills,"Big Brother & The Holding Company, Janis Joplin",1968,1968-08-12
,I Need a Man to Love,Cheap Thrills,"Big Brother & The Holding Company, Janis Joplin",1968,1968-08-12
,Summertime,Cheap Thrills,"Big Brother & The Holding Company, Janis Joplin",1968,1968-08-12
,Piece of My Heart,Cheap Thrills,"Big Brother & The Holding Company, Janis Joplin",1968,1968-08-12
,Turtle Blues,Cheap Thrills,"Big Brother & The Holding Company, Janis Joplin",1968,1968-08-12
,"Oh, Sweet Mary",Cheap Thrills,"Big Brother & The Holding Company, Janis Joplin",1968,1968-08-12
,Ball and Chain,Cheap Thrills,"Big Brother & The Holding Company, Janis Joplin",1968,1968-08-12
,Roadblock,Cheap Thrills,"Big Brother & The Holding Company, Janis Joplin",1968,1968-08-12
,Flower In the Sun,Cheap Thrills,"Big Brother & The Holding Company, Janis Joplin",1968,1968-08-12
,"Catch Me Daddy - Live at the Grande Ballroom, Detroit, MI - March 1968",Cheap Thrills,"Big Brother & The Holding Company, Janis Joplin",1968,1968-08-12
,"Magic of Love - Live at the Grande Ballroom, Detroit, MI - March 1968",Cheap Thrills,"Big Brother & The Holding Company, Janis Joplin",1968,1968-08-12
,My Dreaming Hill,Flying Saucer Attack,Flying Saucer Attack,1994,1994-01-31
,A Silent Tide,Flying Saucer Attack,Flying Saucer Attack,1994,1994-01-31
,Moonset,Flying Saucer Attack,Flying Saucer Attack,1994,1994-01-31
,Make Me Dream,Flying Saucer Attack,Flying Saucer Attack,1994,1994-01-31
,Wish,Flying Saucer Attack,Flying Saucer Attack,1994,1994-01-31
,Popol Vuh 2,Flying Saucer Attack,Flying Saucer Attack,1994,1994-01-31
,The Drowners,Flying Saucer Attack,Flying Saucer Attack,1994,1994-01-31
,Still,Flying Saucer Attack,Flying Saucer Attack,1994,1994-01-31
,Popol Vuh 1,Flying Saucer Attack,Flying Saucer Attack,1994,1994-01-31
,The Season Is Ours,Flying Saucer Attack,Flying Saucer Attack,1994,1994-01-31
,Feedback Song,Chorus,Flying Saucer Attack,1995,1995
,Light In The Evening,Chorus,Flying Saucer Attack,1995,1995
,Popol Vuh III,Chorus,Flying Saucer Attack,1995,1995
,Always,Chorus,Flying Saucer Attack,1995,1995
,Feedback Song Demo,Chorus,Flying Saucer Attack,1995,1995
,Second Hour,Chorus,Flying Saucer Attack,1995,1995
,Beach Red Lullaby,Chorus,Flying Saucer Attack,1995,1995
,There But Not There,Chorus,Flying Saucer Attack,1995,1995
,February 8th,Chorus,Flying Saucer Attack,1995,1995
,There Dub,Chorus,Flying Saucer Attack,1995,1995
,Put On Your Wig,New Variations,The Exploders,2001,2001
,Fifteen Dollars,New Variations,The Exploders,2001,2001
,Candy Floss,New Variations,The Exploders,2001,2001
,Outsmarted,New Variations,The Exploders,2001,2001
,Flame Thrower Love,New Variations,The Exploders,2001,2001
,Teethclencher,New Variations,The Exploders,2001,2001
,Humanoids From The Deep,New Variations,The Exploders,2001,2001
,Hell In A Handbasket,New Variations,The Exploders,2001,2001
,So In Love With You,New Variations,The Exploders,2001,2001
,Party In Breifs,New Variations,The Exploders,2001,2001
,The New Math,New Variations,The Exploders,2001,2001
,untitled,Ovalprocess,Oval,2000,2000-06-20
,Track 2,Ovalprocess,Oval,2000,2000-06-20
,Track 3,Ovalprocess,Oval,2000,2000-06-20
,Track 4,Ovalprocess,Oval,2000,2000-06-20
,Track 5,Ovalprocess,Oval,2000,2000-06-20
,Track 6,Ovalprocess,Oval,2000,2000-06-20
,Track 7,Ovalprocess,Oval,2000,2000-06-20
,Track 8,Ovalprocess,Oval,2000,2000-06-20
,Track 9,Ovalprocess,Oval,2000,2000-06-20
,Track 10,Ovalprocess,Oval,2000,2000-06-20
,Track 11,Ovalprocess,Oval,2000,2000-06-20
,Shopliftin Gabba,Shopliftin Gabba,Shitmat,2003,2003-05-05
,Witness,Shopliftin Gabba,Shitmat,2003,2003-05-05
,Tuneful,Showcase,Lackluster,2004,2004-03-04
,Ll7 01  10  00,Showcase,Lackluster,2004,2004-03-04
,Ll7 07  05  00,Showcase,Lackluster,2004,2004-03-04
,Ll7 18  10  99,Showcase,Lackluster,2004,2004-03-04
,LL7 26  05  00 (Dear Laurent),Showcase,Lackluster,2004,2004-03-04
,24  04  00,Showcase,Lackluster,2004,2004-03-04
,LL12 Strateface  kcl0 (07  10  99),Showcase,Lackluster,2004,2004-03-04
,Ll12 31  10  99,Showcase,Lackluster,2004,2004-03-04
,LL12 cart etak (08  01  01),Showcase,Lackluster,2004,2004-03-04
,LL12 Machine drum (lacklustermx 28  04  01),Showcase,Lackluster,2004,2004-03-04
,haloaw (xx  07  99),Showcase,Lackluster,2004,2004-03-04
,28  06  00,Showcase,Lackluster,2004,2004-03-04
,17  06  01,Showcase,Lackluster,2004,2004-03-04
,Buzz,Showcase,Lackluster,2004,2004-03-04
,Mes 19  10  99,Showcase,Lackluster,2004,2004-03-04
,11  11  99,Showcase,Lackluster,2004,2004-03-04
,13  10  99,Showcase,Lackluster,2004,2004-03-04
,Onuj,Showcase,Lackluster,2004,2004-03-04
,30  03  00,Showcase,Lackluster,2004,2004-03-04
,Below Me Reds,Negativ,Proem,2001,2001
,Cold Water (flat),Negativ,Proem,2001,2001
,Running With Scissors,Negativ,Proem,2001,2001
,Long Distance Tiara,Negativ,Proem,2001,2001
,Protobella,Negativ,Proem,2001,2001
,Pretty Song For Alyssa,Negativ,Proem,2001,2001
,Take Your Pants Off,Negativ,Proem,2001,2001
,Bolt Action Aardvark,Negativ,Proem,2001,2001
,Pears in the Evening Warez,Negativ,Proem,2001,2001
,Access Mike (failure to Connect),Negativ,Proem,2001,2001
,Negativ Reinforcements,Negativ,Proem,2001,2001
,Skylup,Negativ,Proem,2001,2001
,Brothomstates Remix,Negativ,Proem,2001,2001
,Six Ways to Sunday,Thepicompromise,Landau,2004,2004-01-01
,Good Morning Gravity,Thepicompromise,Landau,2004,2004-01-01
,Brokenfader Break,Thepicompromise,Landau,2004,2004-01-01
,Iamiago,Thepicompromise,Landau,2004,2004-01-01
,Spring Showers,Thepicompromise,Landau,2004,2004-01-01
,Steppen,Thepicompromise,Landau,2004,2004-01-01
,Thanks a Whole Lot,Thepicompromise,Landau,2004,2004-01-01
,Oustduo,Thepicompromise,Landau,2004,2004-01-01
,You Are a Commodity,Thepicompromise,Landau,2004,2004-01-01
,About Face,Thepicompromise,Landau,2004,2004-01-01
,Fondue,Thepicompromise,Landau,2004,2004-01-01
,Ways Home,Thepicompromise,Landau,2004,2004-01-01
,Aquaint,Thepicompromise,Landau,2004,2004-01-01
,Independence,Thepicompromise,Landau,2004,2004-01-01
,Niet Of Nooit Geweest,Adem,Acda en de Munnik,2005,2005-11-07
,Groeten Uit Maaiveld,Adem,Acda en de Munnik,2005,2005-11-07
,Laat Me Slapen,Adem,Acda en de Munnik,2005,2005-11-07
,Ren Lenny Ren,Adem,Acda en de Munnik,2005,2005-11-07
,Mooi Liedje,Adem,Acda en de Munnik,2005,2005-11-07
,Vondelpark Vannacht,Adem,Acda en de Munnik,2005,2005-11-07
,Het Regent Zonnestralen,Adem,Acda en de Munnik,2005,2005-11-07
,Als Je Bij Me Weggaat,Adem,Acda en de Munnik,2005,2005-11-07
,Totdat Ik Jou,Adem,Acda en de Munnik,2005,2005-11-07
,De Kapitein Deel II,Adem,Acda en de Munnik,2005,2005-11-07
,(Noem Me) Oud Verdriet,Adem,Acda en de Munnik,2005,2005-11-07
,Als Het Vuur Gedoofd Is,Adem,Acda en de Munnik,2005,2005-11-07
,Lena - Live,Adem,Acda en de Munnik,2005,2005-11-07
,Schoolplein - Live,Adem,Acda en de Munnik,2005,2005-11-07
,Jaren Ver Van Hier - Single Mix,Adem,Acda en de Munnik,2005,2005-11-07
,Lopen Tot De Zon Komt,Adem,Acda en de Munnik,2005,2005-11-07
,De Stad Amsterdam,Adem,Acda en de Munnik,2005,2005-11-07
,Verkeerd Verbonden,Adem,Acda en de Munnik,2005,2005-11-07
,Geen Hemelen Beloven,Adem,Acda en de Munnik,2005,2005-11-07
,Waar Was Je Dan,Adem,Acda en de Munnik,2005,2005-11-07
,Hallo Liedje,Adem,Acda en de Munnik,2005,2005-11-07
,Liever Gelijk Dan Geluk,Adem,Acda en de Munnik,2005,2005-11-07
,Intro,Between Gaps,MD,2001,2001
,Kkowboy,Between Gaps,MD,2001,2001
,Times 3,Between Gaps,MD,2001,2001
,Kingsizebullmaster,Between Gaps,MD,2001,2001
,5n9,Between Gaps,MD,2001,2001
,New York Middle Class,Between Gaps,MD,2001,2001
,The Fall,Between Gaps,MD,2001,2001
,Figure Skating Soiree,Between Gaps,MD,2001,2001
,Sweaty Palms,Between Gaps,MD,2001,2001
,Live For Today,Between Gaps,MD,2001,2001
,Neuvoisimme Myos Sinua,Between Gaps,MD,2001,2001
,Wee Bit,Between Gaps,MD,2001,2001
,Line Of Sight,Between Gaps,MD,2001,2001
,Untitled 1,Appelsap,MD,2000,2000
,Untitled 2,Appelsap,MD,2000,2000
,Untitled 3,Appelsap,MD,2000,2000
,Untitled 4,Appelsap,MD,2000,2000
,Untitled 5,Appelsap,MD,2000,2000
,Untitled 6,Appelsap,MD,2000,2000
,Untitled 7,Appelsap,MD,2000,2000
,Untitled 8,Appelsap,MD,2000,2000
,Untitled 9,Appelsap,MD,2000,2000
,Untitled 10,Appelsap,MD,2000,2000
,Untitled 11,Appelsap,MD,2000,2000
,Ilkae Packing Slip,Appelsap,MD,2000,2000
,Thugs Bicycle Repair,Appelsap,MD,2000,2000
,Frank And Bill - Remix,Appelsap,MD,2000,2000
,Xhale - Mix,Appelsap,MD,2000,2000
,Crankshaft Upwing - Remix,Appelsap,MD,2000,2000
,Brothomstates - Remix,Appelsap,MD,2000,2000
,"Chichester Psalms: I. Psalm 108:2 ""Urah, hanevel, vchinor!"" - Psalm 100 ""Hariu lAdonai kol haarets""",Leonard Bernstein: A Tribute,"Leonard Bernstein, New York Philharmonic",1990,1990-12-14
